"","animal","weight","age","color","spots","sex","appetite","eyecColor","aggressiveness","yard"
"1","sheep",1133.6,2,"white",0,"M",5.977,"brown",4,1
"2","goat",847.6,3,"brown",0,"M",5.022,"brown",2,1
"3","goat",1120.8,8,"brown",0,"M",9.532,"black",1,2
"4","pig",940,3,"red",0,"M",0.394,"black",5,3
"5","goat",1411.4,1,"grey",0,"M",6.923,"black",2,4
"6","horse",1199,4,"red",1,"M",6.955,"brown",5,3
"7","horse",882.8,3,"white",1,"F",3.214,"black",5,3
"8","sheep",1044.8,6,"brown",1,"M",8.061,"black",2,1
"9","cow",1058.9,7,"brown",1,"M",4.121,"black",1,1
"10","sheep",1596.4,3,"grey",0,"F",9.45,"black",4,1
"11","goat",1097,3,"black",0,"F",2.662,"brown",3,3
"12","goat",1488.1,2,"brown",0,"M",6.71,"brown",1,1
"13","horse",908,6,"white",0,"F",11.064,"black",2,1
"14","sheep",1087.6,8,"brown",0,"F",1.42,"brown",4,1
"15","goat",934.3,1,"brown",0,"M",3.728,"black",2,3
"16","goat",1168,2,"black",1,"F",2.18,"black",1,1
"17","horse",796.8,3,"black",0,"F",2.654,"black",4,4
"18","goat",730.4,4,"grey",0,"F",3.808,"black",5,1
"19","goat",1332.1,8,"red",1,"F",10.719,"black",5,4
"20","goat",1475.1,3,"grey",1,"F",3.764,"brown",1,3
"21","goat",1561.6,7,"brown",1,"M",0.923,"brown",2,1
"22","pig",1095.6,8,"grey",1,"M",3.303,"blue",3,1
"23","pig",1478.4,1,"brown",1,"F",7.539,"black",4,1
"24","horse",1332.1,4,"brown",0,"F",8.766,"brown",1,1
"25","goat",1510.4,7,"white",0,"M",1.545,"black",3,3
"26","goat",1386.6,4,"red",0,"M",6.441,"brown",5,2
"27","goat",1457.3,2,"brown",1,"F",5.247,"brown",5,2
"28","goat",1595.8,4,"black",0,"M",3.027,"brown",3,4
"29","horse",976.5,5,"grey",0,"F",7.994,"brown",2,1
"30","horse",1130.5,1,"grey",0,"F",0.376,"brown",3,3
"31","sheep",773.9,2,"black",0,"F",3.003,"black",4,4
"32","sheep",1163.1,6,"white",0,"F",6.177,"black",4,2
"33","pig",835.6,4,"brown",0,"F",11.824,"brown",1,4
"34","horse",1664.8,1,"white",0,"M",1.534,"black",1,2
"35","horse",1253.6,6,"brown",0,"M",0.222,"brown",3,1
"36","horse",875,3,"white",0,"F",5.116,"black",1,2
