cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/2/2016,11/5/2016,"ABC News/Washington Post","A+",1937,"lv",7.597867,47,43,4,,45.31562,41.7655,4.372483,,"","http://apps.washingtonpost.com/g/page/politics/post-abc-tracking-poll-nov-2-5-2016/2130/",48520,76056,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/31/2016,11/4/2016,"Ipsos","A-",2244,"lv",5.982753,43,39,6,,42.84166,38.91726,6.346986,,"","http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_Daily_11.05_.16_.pdf",48484,75984,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/25/2016,10/31/2016,"Google Consumer Surveys","B",24316,"lv",5.646134,37.69,35.07,6.18,,42.9405,41.66352,4.847157,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47940,74999,11/1/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/3/2016,11/6/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1295,"lv",5.222138,48,44,3,,48.9867,43.92565,2.855251,,"","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html",48619,76163,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/2/2016,11/6/2016,"CBS News/New York Times","A-",1426,"lv",4.892666,45,41,5,,45.31998,40.96127,4.010281,,"","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/",48521,76058,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/3/2016,11/5/2016,"NBC News/Wall Street Journal","A-",1282,"lv",4.846863,44,40,6,,43.67844,40.8848,5.082358,,"","http://www.nbcnews.com/storyline/2016-election-day/final-nbc-wsj-poll-clinton-holds-four-point-national-lead-n678611",48480,75974,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"New Mexico",11/6/2016,11/6/2016,"Zia Poll","",8439,"lv",4.609492,46,44,6,,44.87338,41.62537,8.017847,,"","http://www.realclearpolitics.com/docs/2016/Zia_Poll_NM_November.pdf",48614,76158,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/1/2016,11/4/2016,"Angus Reid Global","A-",1151,"lv",4.156231,48,44,6,,47.42315,43.80227,5.124535,,"","http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf",48626,76181,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/4/2016,11/6/2016,"Selzer & Company","A+",799,"lv",4.153598,44,41,4,,44.29323,40.5354,3.841844,,"","http://www.bloomberg.com/politics/articles/2016-11-07/national-poll",48513,76036,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/3/2016,11/6/2016,"IBD/TIPP","A-",1026,"lv",4.106264,40.7,43.1,6.3,,42.303,42.70957,5.523278,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",48511,76033,11/7/16,"13:38:00  7 Nov 2016"
